stage,user_raw_input,extracted_value
DAYS,5,5
GREETING,I'm ready,yes
LEVEL,Pretty much a novice,novice
AGE,I am 59,59
WEIGHT,279 pounds,279
WEIGHT,Around 241,241
LEVEL,Just a intermediate,intermediate
WEIGHT,About 143,143
HEIGHT,I am 181 centimeters,181
DAYS,About 3 days,3
INJURIES,lower back pain,lower back pain
INJURIES,Dealing with shoulder impingement,shoulder impingement
WEIGHT,I weigh 209 lbs,209
AGE,32,32
LEVEL,I'd say novice,novice
INJURIES,tennis elbow,tennis elbow
LEVEL,beginner,beginner
HEIGHT,190 cm,190
ALLERGIES,I am vegan,vegan
DAYS,I have 3 days free,3
ALLERGIES,gluten,gluten
HEIGHT,I am 187 centimeters,187
HEIGHT,183 cm,183
INJURIES,Nope,none
HEIGHT,172,172
WEIGHT,Around 152,152
HEIGHT,I am 165 centimeters,165
DAYS,I can do 4 days a week,4
GREETING,Let's do it,yes
EQUIPMENT,resistance bands,resistance bands
WEIGHT,207,207
WEIGHT,About 154,154
INJURIES,Dealing with bad knee,bad knee
WEIGHT,180 pounds,180
EQUIPMENT,I workout at a home gym,home gym
GREETING,Ready,yes
LEVEL,Just a pro,pro
HEIGHT,165 cm,165
DAYS,About 5 days,5
GREETING,I'm ready,yes
EQUIPMENT,I only have kettlebells,kettlebells
GOAL,Looking to lose weight,lose weight
DAYS,5,5
INJURIES,Dealing with bad knee,bad knee
INJURIES,Dealing with lower back pain,lower back pain
DAYS,I have 3 days free,3
AGE,I just turned 34,34
DAYS,I have 5 days free,5
CONFIRMATION,Wait,no
CONFIRMATION,That is wrong,no
GREETING,Absolutely,yes
GREETING,Give me a minute,no
CONSENT,Nah,no
CONFIRMATION,Generate it,yes
DAYS,I have 6 days free,6
LEVEL,I'd say intermediate,intermediate
GREETING,Let's do it,yes
INJURIES,I have a shoulder impingement,shoulder impingement
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
INJURIES,shoulder impingement,shoulder impingement
GREETING,Nah,no
CONFIRMATION,Incorrect,no
AGE,58,58
CONFIRMATION,Generate it,yes
EQUIPMENT,I workout at a home gym,home gym
ALLERGIES,I have a peanut allergy,peanut
HEIGHT,About 157 cm,157
CONFIRMATION,Perfect,yes
INJURIES,shoulder impingement,shoulder impingement
AGE,I'm 33,33
EQUIPMENT,I only have full gym,full gym
ALLERGIES,Nope,none
INJURIES,My tennis elbow hurts sometimes,tennis elbow
AGE,I am 18,18
DAYS,4 days,4
WEIGHT,About 129,129
ALLERGIES,I have a shellfish allergy,shellfish
AGE,61,61
GREETING,Yes,yes
HEIGHT,About 178 cm,178
AGE,I'm 20,20
WEIGHT,I weigh 286 lbs,286
ALLERGIES,I have a vegan allergy,vegan
EQUIPMENT,I only have dumbbells,dumbbells
WEIGHT,I am 247 lbs,247
CONSENT,No,no
DAYS,3 days,3
GOAL,I want to build muscle,build muscle
EQUIPMENT,I have access to home gym,home gym
WEIGHT,I am 150 lbs,150
GREETING,Not yet,no
ALLERGIES,I have a peanut allergy,peanut
EQUIPMENT,Just full gym,full gym
AGE,I just turned 60,60
HEIGHT,182 cm,182
INJURIES,No injuries,none
CONFIRMATION,Generate it,yes
GREETING,No,no
CONFIRMATION,Wait,no
ALLERGIES,Nope,none
EQUIPMENT,resistance bands,resistance bands
HEIGHT,180 cm,180
GREETING,Nah,no
EQUIPMENT,I workout at a bodyweight,bodyweight
GREETING,Nah,no
LEVEL,I am a pro,pro
GREETING,I'm ready,yes
HEIGHT,I am 154 centimeters,154
INJURIES,lower back pain,lower back pain
WEIGHT,About 259,259
LEVEL,I am a beginner,beginner
EQUIPMENT,Just resistance bands,resistance bands
EQUIPMENT,Just full gym,full gym
WEIGHT,Around 197,197
CONSENT,Yes you do,yes
HEIGHT,About 191 cm,191
INJURIES,None,none
CONSENT,Okay,yes
INJURIES,Dealing with twisted ankle,twisted ankle
HEIGHT,168 cm,168
EQUIPMENT,I workout at a resistance bands,resistance bands
AGE,26,26
LEVEL,Just a intermediate,intermediate
GOAL,I want to burn fat,burn fat
EQUIPMENT,I have access to bodyweight,bodyweight
ALLERGIES,vegan,vegan
CONSENT,I don't consent,no
DAYS,I can do 4 days a week,4
LEVEL,I am a novice,novice
DAYS,I can do 5 days a week,5
WEIGHT,Around 196,196
CONFIRMATION,That is wrong,no
WEIGHT,Around 217,217
ALLERGIES,I have a shellfish allergy,shellfish
CONSENT,No,no
ALLERGIES,I'm allergic to vegans,vegan
DAYS,About 2 days,2
HEIGHT,171,171
GREETING,No,no
DAYS,About 6 days,6
AGE,I am 24,24
AGE,39,39
HEIGHT,154 cm,154
WEIGHT,184,184
DAYS,3 days,3
LEVEL,I'd say beginner,beginner
DAYS,5 days,5
WEIGHT,292 pounds,292
HEIGHT,About 164 cm,164
GREETING,Let's do it,yes
EQUIPMENT,I only have full gym,full gym
GREETING,Ready,yes
ALLERGIES,I eat everything,none
EQUIPMENT,I only have resistance bands,resistance bands
HEIGHT,179 cm,179
CONSENT,Nope,no
GOAL,I want to get shredded,get shredded
GOAL,Looking to endurance,endurance
ALLERGIES,I am shellfish,shellfish
WEIGHT,I weigh 235 lbs,235
WEIGHT,I weigh 103 lbs,103
LEVEL,I am a advanced,advanced
GREETING,Yes I am,yes
EQUIPMENT,I workout at a home gym,home gym
LEVEL,I'd say novice,novice
DAYS,I have 3 days free,3
EQUIPMENT,I only have resistance bands,resistance bands
CONFIRMATION,Looks good,yes
CONFIRMATION,That's right,yes
CONSENT,Nah,no
INJURIES,Dealing with twisted ankle,twisted ankle
HEIGHT,About 170 cm,170
GOAL,Looking to lose weight,lose weight
GOAL,Mainly to tone up,tone up
HEIGHT,163,163
GREETING,Absolutely,yes
CONFIRMATION,Perfect,yes
GREETING,Yes I am,yes
CONSENT,Nah,no
GREETING,I'm ready,yes
LEVEL,I am a novice,novice
DAYS,6,6
LEVEL,Pretty much a intermediate,intermediate
GOAL,Looking to burn fat,burn fat
GREETING,Absolutely,yes
GOAL,Mainly to tone up,tone up
CONFIRMATION,No,no
AGE,29,29
DAYS,I can do 5 days a week,5
EQUIPMENT,I have access to full gym,full gym
AGE,I'm 18,18
AGE,I am 16,16
AGE,I just turned 17,17
INJURIES,Dealing with tennis elbow,tennis elbow
DAYS,I have 6 days free,6
WEIGHT,I am 237 lbs,237
GOAL,I want to lose weight,lose weight
DAYS,I can do 4 days a week,4
WEIGHT,I am 151 lbs,151
GOAL,I want to endurance,endurance
DAYS,I can do 5 days a week,5
DAYS,I have 6 days free,6
CONFIRMATION,I need to change something,no
INJURIES,I'm perfectly healthy,none
EQUIPMENT,I have access to dumbbells,dumbbells
AGE,I am 44,44
HEIGHT,153 cm,153
ALLERGIES,vegan,vegan
EQUIPMENT,kettlebells,kettlebells
CONFIRMATION,Looks correct,yes
INJURIES,No,none
LEVEL,pro,pro
WEIGHT,249 pounds,249
LEVEL,pro,pro
ALLERGIES,gluten,gluten
DAYS,About 3 days,3
GOAL,Looking to tone up,tone up
WEIGHT,Around 275,275
HEIGHT,164 cm,164
GREETING,Nah,no
ALLERGIES,I am peanut,peanut
ALLERGIES,I'm allergic to glutens,gluten
EQUIPMENT,I workout at a home gym,home gym
GREETING,Let's do it,yes
CONFIRMATION,Wait,no
CONFIRMATION,Looks correct,yes
EQUIPMENT,I only have home gym,home gym
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
HEIGHT,152 cm,152
ALLERGIES,I'm allergic to shellfishs,shellfish
CONSENT,No,no
INJURIES,Dealing with bad knee,bad knee
INJURIES,No injuries,none
CONSENT,Nope,no
INJURIES,lower back pain,lower back pain
CONSENT,I would rather not,no
INJURIES,None,none
INJURIES,Dealing with bad knee,bad knee
INJURIES,Dealing with twisted ankle,twisted ankle
WEIGHT,I weigh 299 lbs,299
HEIGHT,168,168
GREETING,Nah,no
LEVEL,I am a novice,novice
DAYS,I have 4 days free,4
ALLERGIES,Nope,none
GOAL,My goal is to tone up,tone up
CONFIRMATION,Generate it,yes
GREETING,Not ready,no
AGE,I am 36,36
HEIGHT,195,195
EQUIPMENT,I have access to bodyweight,bodyweight
DAYS,I can do 3 days a week,3
HEIGHT,About 186 cm,186
INJURIES,Dealing with bad knee,bad knee
HEIGHT,165,165
GREETING,No,no
GOAL,Mainly to burn fat,burn fat
GREETING,Not yet,no
HEIGHT,About 194 cm,194
HEIGHT,About 151 cm,151
CONFIRMATION,Wait,no
GREETING,Yeah let's go,yes
EQUIPMENT,I only have resistance bands,resistance bands
GREETING,Nah,no
CONFIRMATION,That is wrong,no
INJURIES,I have a twisted ankle,twisted ankle
INJURIES,No injuries,none
WEIGHT,I am 275 lbs,275
HEIGHT,151,151
AGE,I am 47 years old,47
ALLERGIES,I have a vegan allergy,vegan
WEIGHT,About 167,167
WEIGHT,Around 219,219
ALLERGIES,I'm allergic to glutens,gluten
LEVEL,Pretty much a intermediate,intermediate
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
ALLERGIES,I have a shellfish allergy,shellfish
CONSENT,Yes,yes
CONSENT,I would rather not,no
CONFIRMATION,Wait,no
WEIGHT,About 173,173
EQUIPMENT,Just full gym,full gym
GOAL,Looking to get shredded,get shredded
DAYS,2 days,2
LEVEL,I am a novice,novice
CONSENT,I consent,yes
EQUIPMENT,I workout at a kettlebells,kettlebells
HEIGHT,164 cm,164
DAYS,About 2 days,2
INJURIES,None,none
LEVEL,Just a beginner,beginner
CONSENT,I would rather not,no
WEIGHT,I am 172 lbs,172
GREETING,Let's do it,yes
GOAL,I want to lose weight,lose weight
DAYS,2 days,2
INJURIES,My tennis elbow hurts sometimes,tennis elbow
CONSENT,Nah,no
DAYS,2,2
HEIGHT,181,181
LEVEL,I am a pro,pro
LEVEL,beginner,beginner
WEIGHT,I weigh 286 lbs,286
GREETING,Let's do it,yes
LEVEL,novice,novice
DAYS,5,5
GOAL,Mainly to tone up,tone up
GOAL,Mainly to burn fat,burn fat
CONSENT,Nah,no
CONFIRMATION,Incorrect,no
GOAL,Looking to endurance,endurance
CONFIRMATION,Incorrect,no
DAYS,2,2
ALLERGIES,I am peanut,peanut
HEIGHT,I am 183 centimeters,183
WEIGHT,About 221,221
DAYS,I have 3 days free,3
DAYS,I can do 3 days a week,3
EQUIPMENT,Just resistance bands,resistance bands
WEIGHT,I weigh 139 lbs,139
AGE,I'm 32,32
AGE,I am 28 years old,28
GREETING,Let's do it,yes
WEIGHT,Around 118,118
LEVEL,I'd say intermediate,intermediate
CONSENT,Yeah that's fine,yes
ALLERGIES,I am gluten,gluten
WEIGHT,218,218
CONFIRMATION,Wait,no
ALLERGIES,None,none
WEIGHT,226,226
CONSENT,Nope,no
WEIGHT,Around 201,201
GREETING,Let's do it,yes
DAYS,I have 3 days free,3
ALLERGIES,I have a gluten allergy,gluten
AGE,37,37
HEIGHT,About 169 cm,169
CONFIRMATION,That is wrong,no
CONSENT,No,no
LEVEL,I am a novice,novice
GREETING,Not ready,no
GREETING,Yes I am,yes
GREETING,Absolutely,yes
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
DAYS,About 4 days,4
DAYS,2 days,2
HEIGHT,171 cm,171
WEIGHT,285 pounds,285
HEIGHT,160 cm,160
DAYS,3,3
CONSENT,Yeah that's fine,yes
HEIGHT,I am 167 centimeters,167
ALLERGIES,I am shellfish,shellfish
GOAL,I want to build muscle,build muscle
HEIGHT,193 cm,193
GOAL,My goal is to endurance,endurance
CONSENT,Nah,no
DAYS,2 days,2
INJURIES,My twisted ankle hurts sometimes,twisted ankle
GOAL,Mainly to lose weight,lose weight
HEIGHT,182 cm,182
EQUIPMENT,I have access to full gym,full gym
AGE,I just turned 64,64
LEVEL,beginner,beginner
WEIGHT,250,250
EQUIPMENT,I only have home gym,home gym
GOAL,lose weight,lose weight
INJURIES,I have a shoulder impingement,shoulder impingement
CONSENT,Okay,yes
HEIGHT,I am 170 centimeters,170
CONSENT,Nah,no
HEIGHT,I am 178 centimeters,178
EQUIPMENT,resistance bands,resistance bands
AGE,I am 49 years old,49
ALLERGIES,I am peanut,peanut
GOAL,My goal is to lose weight,lose weight
GOAL,Mainly to build muscle,build muscle
INJURIES,lower back pain,lower back pain
DAYS,4 days,4
AGE,I'm 61,61
CONSENT,Okay,yes
GOAL,My goal is to endurance,endurance
CONSENT,Nope,no
WEIGHT,178 pounds,178
CONFIRMATION,Generate it,yes
HEIGHT,173,173
CONSENT,Yes you do,yes
WEIGHT,242,242
CONSENT,I consent,yes
EQUIPMENT,I workout at a resistance bands,resistance bands
CONFIRMATION,I need to change something,no
DAYS,2,2
LEVEL,Pretty much a beginner,beginner
HEIGHT,About 180 cm,180
INJURIES,My lower back pain hurts sometimes,lower back pain
AGE,27,27
ALLERGIES,I'm allergic to vegans,vegan
CONSENT,Nah,no
GREETING,No,no
CONSENT,Okay,yes
ALLERGIES,vegan,vegan
LEVEL,I am a advanced,advanced
AGE,I'm 39,39
ALLERGIES,No allergies,none
ALLERGIES,Nah,none
CONSENT,Go ahead,yes
GREETING,Not ready,no
LEVEL,Pretty much a beginner,beginner
INJURIES,I have a bad knee,bad knee
DAYS,About 4 days,4
GOAL,Mainly to lose weight,lose weight
EQUIPMENT,I workout at a bodyweight,bodyweight
AGE,I am 23 years old,23
WEIGHT,I am 299 lbs,299
HEIGHT,About 191 cm,191
EQUIPMENT,I have access to dumbbells,dumbbells
CONFIRMATION,Looks correct,yes
ALLERGIES,I have a shellfish allergy,shellfish
GOAL,I want to build muscle,build muscle
GREETING,No,no
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
ALLERGIES,vegan,vegan
LEVEL,novice,novice
INJURIES,I have a shoulder impingement,shoulder impingement
DAYS,6 days,6
EQUIPMENT,I only have kettlebells,kettlebells
GREETING,I'm ready,yes
DAYS,I can do 3 days a week,3
DAYS,2,2
CONFIRMATION,No,no
EQUIPMENT,Just full gym,full gym
CONSENT,Sure,yes
INJURIES,No,none
CONFIRMATION,That is wrong,no
CONSENT,Okay,yes
DAYS,4,4
LEVEL,I'd say pro,pro
HEIGHT,I am 164 centimeters,164
HEIGHT,155 cm,155
WEIGHT,Around 112,112
INJURIES,Nope,none
WEIGHT,I weigh 300 lbs,300
INJURIES,None,none
WEIGHT,261,261
CONFIRMATION,Wait,no
INJURIES,twisted ankle,twisted ankle
DAYS,I have 5 days free,5
LEVEL,Just a novice,novice
EQUIPMENT,Just home gym,home gym
LEVEL,Just a advanced,advanced
HEIGHT,172,172
AGE,I am 27,27
CONSENT,Yes,yes
GREETING,Absolutely,yes
GREETING,Nah,no
INJURIES,No injuries,none
GOAL,Mainly to tone up,tone up
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
CONSENT,Sure,yes
GREETING,Not yet,no
GOAL,burn fat,burn fat
AGE,I am 20,20
CONFIRMATION,Wait,no
HEIGHT,178,178
LEVEL,beginner,beginner
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
INJURIES,My bad knee hurts sometimes,bad knee
GREETING,Nah,no
HEIGHT,195 cm,195
INJURIES,Dealing with tennis elbow,tennis elbow
GREETING,Not yet,no
EQUIPMENT,I have access to dumbbells,dumbbells
LEVEL,Just a novice,novice
DAYS,I have 5 days free,5
DAYS,2,2
GOAL,Looking to burn fat,burn fat
DAYS,6 days,6
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
WEIGHT,174 pounds,174
INJURIES,Dealing with shoulder impingement,shoulder impingement
HEIGHT,About 193 cm,193
GREETING,Give me a minute,no
GREETING,Not ready,no
DAYS,About 3 days,3
GREETING,Nah,no
WEIGHT,126,126
EQUIPMENT,I only have dumbbells,dumbbells
GOAL,I want to tone up,tone up
EQUIPMENT,I only have kettlebells,kettlebells
AGE,I am 32 years old,32
EQUIPMENT,I only have dumbbells,dumbbells
ALLERGIES,I eat everything,none
GREETING,Absolutely,yes
ALLERGIES,Nope,none
GOAL,build muscle,build muscle
INJURIES,tennis elbow,tennis elbow
DAYS,6 days,6
INJURIES,My bad knee hurts sometimes,bad knee
ALLERGIES,I'm allergic to shellfishs,shellfish
AGE,I am 55,55
DAYS,About 2 days,2
WEIGHT,222,222
WEIGHT,I am 238 lbs,238
GREETING,Yes,yes
ALLERGIES,Nah,none
ALLERGIES,I have a gluten allergy,gluten
AGE,52,52
EQUIPMENT,dumbbells,dumbbells
ALLERGIES,Nah,none
LEVEL,I am a advanced,advanced
WEIGHT,I weigh 296 lbs,296
DAYS,5,5
INJURIES,I have a shoulder impingement,shoulder impingement
EQUIPMENT,I only have kettlebells,kettlebells
EQUIPMENT,I only have kettlebells,kettlebells
CONSENT,Yes,yes
HEIGHT,About 193 cm,193
INJURIES,twisted ankle,twisted ankle
GOAL,get shredded,get shredded
DAYS,3 days,3
DAYS,6 days,6
CONSENT,I don't consent,no
CONFIRMATION,Perfect,yes
ALLERGIES,I'm allergic to vegans,vegan
INJURIES,My tennis elbow hurts sometimes,tennis elbow
DAYS,2 days,2
WEIGHT,180 pounds,180
GOAL,Mainly to build muscle,build muscle
EQUIPMENT,Just dumbbells,dumbbells
HEIGHT,167,167
GREETING,Give me a minute,no
WEIGHT,About 210,210
WEIGHT,221,221
GREETING,Yes,yes
GREETING,Nah,no
LEVEL,I'd say beginner,beginner
ALLERGIES,I'm allergic to glutens,gluten
AGE,25,25
GREETING,Give me a minute,no
INJURIES,My tennis elbow hurts sometimes,tennis elbow
ALLERGIES,Nope,none
GOAL,Looking to lose weight,lose weight
ALLERGIES,Nah,none
WEIGHT,I weigh 126 lbs,126
EQUIPMENT,I workout at a resistance bands,resistance bands
GREETING,Absolutely,yes
HEIGHT,About 163 cm,163
WEIGHT,286,286
CONSENT,Yes you do,yes
CONSENT,Yes,yes
LEVEL,I am a novice,novice
GOAL,Looking to lose weight,lose weight
AGE,I am 40 years old,40
ALLERGIES,shellfish,shellfish
HEIGHT,About 186 cm,186
CONFIRMATION,Go ahead,yes
WEIGHT,Around 106,106
HEIGHT,I am 183 centimeters,183
EQUIPMENT,I workout at a dumbbells,dumbbells
EQUIPMENT,Just kettlebells,kettlebells
ALLERGIES,I have a vegan allergy,vegan
LEVEL,I am a beginner,beginner
LEVEL,Just a novice,novice
HEIGHT,155 cm,155
CONSENT,Sure,yes
CONFIRMATION,Go ahead,yes
DAYS,I can do 5 days a week,5
EQUIPMENT,Just dumbbells,dumbbells
AGE,42,42
HEIGHT,About 158 cm,158
GOAL,My goal is to tone up,tone up
CONFIRMATION,Go ahead,yes
HEIGHT,I am 165 centimeters,165
INJURIES,I'm perfectly healthy,none
CONFIRMATION,That's right,yes
INJURIES,No injuries,none
CONFIRMATION,Go ahead,yes
HEIGHT,I am 157 centimeters,157
CONSENT,I don't consent,no
DAYS,About 4 days,4
CONFIRMATION,Wait,no
DAYS,4,4
INJURIES,I'm perfectly healthy,none
LEVEL,I am a intermediate,intermediate
WEIGHT,I am 251 lbs,251
GOAL,My goal is to burn fat,burn fat
ALLERGIES,I am lactose intolerant,lactose intolerant
LEVEL,Just a advanced,advanced
DAYS,About 3 days,3
DAYS,4,4
HEIGHT,186,186
EQUIPMENT,kettlebells,kettlebells
GOAL,build muscle,build muscle
CONSENT,I consent,yes
AGE,I am 52,52
INJURIES,My bad knee hurts sometimes,bad knee
GREETING,Not ready,no
EQUIPMENT,I only have bodyweight,bodyweight
GOAL,I want to lose weight,lose weight
LEVEL,I am a intermediate,intermediate
ALLERGIES,I have a peanut allergy,peanut
GREETING,Give me a minute,no
GREETING,Not yet,no
GREETING,Yeah let's go,yes
DAYS,4,4
DAYS,3,3
CONSENT,I would rather not,no
WEIGHT,273 pounds,273
CONFIRMATION,Perfect,yes
ALLERGIES,I'm allergic to glutens,gluten
HEIGHT,I am 171 centimeters,171
WEIGHT,I weigh 153 lbs,153
INJURIES,I'm perfectly healthy,none
ALLERGIES,Nope,none
LEVEL,Pretty much a beginner,beginner
GREETING,Give me a minute,no
INJURIES,I have a tennis elbow,tennis elbow
INJURIES,Dealing with shoulder impingement,shoulder impingement
EQUIPMENT,I have access to bodyweight,bodyweight
ALLERGIES,I'm allergic to glutens,gluten
GOAL,Mainly to get shredded,get shredded
LEVEL,Pretty much a beginner,beginner
ALLERGIES,I am lactose intolerant,lactose intolerant
CONFIRMATION,That is wrong,no
GREETING,Yes,yes
EQUIPMENT,Just home gym,home gym
AGE,62,62
INJURIES,My bad knee hurts sometimes,bad knee
CONFIRMATION,Perfect,yes
HEIGHT,I am 158 centimeters,158
GREETING,Yes,yes
GOAL,I want to endurance,endurance
GREETING,No,no
AGE,I'm 22,22
GOAL,build muscle,build muscle
AGE,19,19
AGE,54,54
EQUIPMENT,I workout at a kettlebells,kettlebells
ALLERGIES,I am peanut,peanut
DAYS,3 days,3
LEVEL,novice,novice
GOAL,Looking to lose weight,lose weight
WEIGHT,Around 172,172
WEIGHT,About 268,268
ALLERGIES,I'm allergic to peanuts,peanut
AGE,I'm 26,26
INJURIES,tennis elbow,tennis elbow
GOAL,Looking to tone up,tone up
EQUIPMENT,I have access to full gym,full gym
WEIGHT,I am 242 lbs,242
LEVEL,I'd say advanced,advanced
HEIGHT,155 cm,155
AGE,I am 35,35
GREETING,Yeah let's go,yes
LEVEL,I am a novice,novice
EQUIPMENT,I only have resistance bands,resistance bands
ALLERGIES,peanut,peanut
GREETING,Let's do it,yes
CONFIRMATION,That's right,yes
AGE,I just turned 60,60
INJURIES,None,none
ALLERGIES,I am peanut,peanut
ALLERGIES,I have a gluten allergy,gluten
CONFIRMATION,Incorrect,no
GREETING,Let's do it,yes
CONSENT,Yeah that's fine,yes
EQUIPMENT,I workout at a home gym,home gym
LEVEL,advanced,advanced
HEIGHT,About 185 cm,185
AGE,I am 54 years old,54
INJURIES,No injuries,none
EQUIPMENT,kettlebells,kettlebells
CONFIRMATION,That's right,yes
WEIGHT,I am 296 lbs,296
EQUIPMENT,home gym,home gym
GOAL,Mainly to endurance,endurance
GOAL,I want to burn fat,burn fat
GOAL,Mainly to burn fat,burn fat
ALLERGIES,I am shellfish,shellfish
GOAL,My goal is to endurance,endurance
ALLERGIES,Nah,none
HEIGHT,158 cm,158
HEIGHT,179 cm,179
CONFIRMATION,I need to change something,no
GREETING,Absolutely,yes
ALLERGIES,I'm allergic to peanuts,peanut
ALLERGIES,I have a gluten allergy,gluten
DAYS,About 2 days,2
LEVEL,Just a beginner,beginner
LEVEL,pro,pro
WEIGHT,152 pounds,152
INJURIES,I have a twisted ankle,twisted ankle
CONFIRMATION,Yes,yes
GREETING,Ready,yes
WEIGHT,116,116
GREETING,Ready,yes
AGE,34,34
CONSENT,Nope,no
LEVEL,I am a beginner,beginner
CONFIRMATION,Go ahead,yes
AGE,45,45
DAYS,4 days,4
GOAL,lose weight,lose weight
WEIGHT,256,256
AGE,I'm 46,46
GREETING,No,no
GOAL,tone up,tone up
LEVEL,I'd say novice,novice
EQUIPMENT,I have access to bodyweight,bodyweight
AGE,I just turned 17,17
GREETING,Not yet,no
LEVEL,Just a pro,pro
CONSENT,Yes you do,yes
LEVEL,Pretty much a beginner,beginner
CONSENT,Nah,no
GREETING,Not ready,no
HEIGHT,181,181
GOAL,I want to tone up,tone up
WEIGHT,I am 141 lbs,141
DAYS,About 3 days,3
DAYS,I have 3 days free,3
CONFIRMATION,Wait,no
CONFIRMATION,Looks correct,yes
ALLERGIES,shellfish,shellfish
CONFIRMATION,Wait,no
DAYS,4,4
AGE,I am 50 years old,50
HEIGHT,About 170 cm,170
CONFIRMATION,I need to change something,no
GOAL,My goal is to burn fat,burn fat
AGE,I am 40,40
INJURIES,Dealing with shoulder impingement,shoulder impingement
CONSENT,Nah,no
INJURIES,Dealing with twisted ankle,twisted ankle
GREETING,Yes,yes
ALLERGIES,I eat everything,none
CONFIRMATION,Looks good,yes
GREETING,I'm ready,yes
EQUIPMENT,full gym,full gym
EQUIPMENT,Just resistance bands,resistance bands
CONFIRMATION,Wait,no
DAYS,About 6 days,6
GOAL,Mainly to build muscle,build muscle
LEVEL,Pretty much a advanced,advanced
GOAL,Looking to get shredded,get shredded
EQUIPMENT,I only have home gym,home gym
AGE,I am 35 years old,35
CONFIRMATION,That is wrong,no
HEIGHT,About 182 cm,182
LEVEL,Pretty much a beginner,beginner
GREETING,Not yet,no
WEIGHT,106,106
WEIGHT,108 pounds,108
CONFIRMATION,That is wrong,no
HEIGHT,I am 166 centimeters,166
AGE,I am 65 years old,65
ALLERGIES,I am peanut,peanut
WEIGHT,About 177,177
WEIGHT,293 pounds,293
EQUIPMENT,I have access to bodyweight,bodyweight
HEIGHT,161,161
ALLERGIES,I have a vegan allergy,vegan
AGE,I'm 58,58
INJURIES,Nope,none
DAYS,About 6 days,6
DAYS,About 3 days,3
WEIGHT,112 pounds,112
EQUIPMENT,I have access to kettlebells,kettlebells
INJURIES,lower back pain,lower back pain
CONFIRMATION,No,no
WEIGHT,Around 284,284
ALLERGIES,I'm allergic to glutens,gluten
EQUIPMENT,I workout at a kettlebells,kettlebells
INJURIES,tennis elbow,tennis elbow
CONFIRMATION,Yes,yes
CONSENT,Sure,yes
HEIGHT,184 cm,184
AGE,25,25
HEIGHT,About 187 cm,187
DAYS,3 days,3
GREETING,Not yet,no
WEIGHT,About 221,221
EQUIPMENT,kettlebells,kettlebells
WEIGHT,I am 120 lbs,120
AGE,I am 65,65
AGE,I'm 60,60
ALLERGIES,I am vegan,vegan
WEIGHT,About 229,229
INJURIES,lower back pain,lower back pain
DAYS,I can do 4 days a week,4
CONFIRMATION,Yes,yes
LEVEL,I'd say beginner,beginner
GOAL,get shredded,get shredded
WEIGHT,194,194
CONSENT,I consent,yes
CONFIRMATION,Wait,no
INJURIES,shoulder impingement,shoulder impingement
ALLERGIES,I have a shellfish allergy,shellfish
LEVEL,Pretty much a intermediate,intermediate
CONFIRMATION,Yes,yes
WEIGHT,About 122,122
INJURIES,My twisted ankle hurts sometimes,twisted ankle
EQUIPMENT,I only have dumbbells,dumbbells
ALLERGIES,vegan,vegan
GOAL,Looking to burn fat,burn fat
INJURIES,Dealing with lower back pain,lower back pain
ALLERGIES,I am lactose intolerant,lactose intolerant
EQUIPMENT,kettlebells,kettlebells
CONFIRMATION,Looks correct,yes
LEVEL,Pretty much a beginner,beginner
WEIGHT,I weigh 261 lbs,261
GOAL,Mainly to build muscle,build muscle
ALLERGIES,I eat everything,none
GREETING,Nah,no
HEIGHT,165 cm,165
AGE,I am 48,48
LEVEL,I'd say beginner,beginner
CONSENT,Nah,no
WEIGHT,Around 110,110
LEVEL,I'd say beginner,beginner
INJURIES,twisted ankle,twisted ankle
WEIGHT,279 pounds,279
ALLERGIES,shellfish,shellfish
GOAL,Mainly to endurance,endurance
INJURIES,Dealing with lower back pain,lower back pain
HEIGHT,I am 161 centimeters,161
INJURIES,My tennis elbow hurts sometimes,tennis elbow
ALLERGIES,gluten,gluten
LEVEL,I'd say advanced,advanced
DAYS,I have 5 days free,5
DAYS,4,4
GOAL,Looking to lose weight,lose weight
WEIGHT,About 120,120
DAYS,About 5 days,5
GOAL,I want to endurance,endurance
INJURIES,Nope,none
LEVEL,Pretty much a beginner,beginner
GREETING,Yes,yes
DAYS,4,4
LEVEL,Just a advanced,advanced
INJURIES,shoulder impingement,shoulder impingement
ALLERGIES,I am lactose intolerant,lactose intolerant
WEIGHT,240,240
WEIGHT,About 167,167
AGE,I just turned 54,54
GOAL,tone up,tone up
ALLERGIES,I'm allergic to glutens,gluten
EQUIPMENT,Just bodyweight,bodyweight
CONSENT,Yes you do,yes
DAYS,6 days,6
LEVEL,Pretty much a pro,pro
GREETING,Nah,no
LEVEL,novice,novice
DAYS,4,4
CONFIRMATION,I need to change something,no
HEIGHT,I am 171 centimeters,171
DAYS,5,5
EQUIPMENT,dumbbells,dumbbells
INJURIES,I have a twisted ankle,twisted ankle
CONSENT,No,no
